所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/注册,验证输入不够11位手机号，注册失败,"1. 点击注册按钮
2. 输入手机号：1331234567
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证手机号第一位为2，注册失败,"1. 点击注册按钮
2. 输入手机号：2123456789
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
1.推荐人手机号已注册过",,,,
/注册,验证手机号第二位为2，注册失败,"1. 点击注册按钮
2. 输入手机号：12312345678
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入错误的验证码，注册失败,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8889
4.设置密码：123456900987654
5.确认密码：123456
5.勾选协议
6.点击注册","1.注册失败
2.提示图像验证码错误
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证不输入验证码，注册失败,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示图像验证码不能为空
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证密码为空，注册失败,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：
5.确认密码：
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请输入用户名或密码
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入密码小于6位，注册失败,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：12345
5.确认密码：12345
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示密码为6-16大小写英文字母、数字或符号组合
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入密码大于16位，注册失败,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：12345678900987654
5.确认密码：12345678900987654
5.勾选协议
6.点击注册","1.注册失败
2.提示密码为6-16大小写英文字母、数字或符号组合
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证两次密码不一致，注册失败,"1. 点击注册按钮
2. 输入手机号：12312345678
3.图像验证码：8888
4.设置密码：123456
5.确认密码：1234567
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示两次输入密码不一致
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入重复的邮箱，注册失败,"1. 点击注册按钮
2. 邮箱：1234@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示账号已存在
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,"验证邮
箱为空，注册失败","1. 点击注册按钮
2. 邮箱：
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证邮箱长度不够4，注册失败,"1. 点击注册按钮
2. 邮箱：123@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证邮箱长度超过16，注册失败,"1. 点击注册按钮
2. 邮箱：12345678900987654@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意
协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证邮箱以下划线开头，注册失败,"1. 点击注册按钮
2. 邮箱：_123@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入格式不正确的手机号，注册失败,"1. 点击注册按钮
2. 手机号：133123 4567
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意
协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,"验
证输入格式不正确的邮箱，注册失败","1. 点击注册按钮
2. 邮箱：12345
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意
协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入格式不正确的密码，注册失败,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：12 3 45
5.确认密码：12 3 45
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示密码为6-16大小写英文字母、数字或符号组合
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证输入推荐人手机号格式不正确，注册失败,"1. 点击注册按钮
2. 邮箱：12345@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：1771234 567
6.勾选协议
7.点击注册","1.注册失败
2.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
",,,,
/注册,验证输入推荐人手机号未注册，注册失败,"1. 点击注册按钮
2. 邮箱：1234@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345667
6.勾选协议
7.点击注册","1.注册失败
2.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号未注册",,,,
/注册,验证手机号注册成功状态,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.前台：弹框提示注册成功；跳转到首页； 显示登录状态
2.后台：会员列表新增一条记录
3.数据库：tp_users表增加一条数据",,功能测试,2,正常,系统测试阶段,注册成功,,,,
/注册,"验证邮箱注册成功状态
","1. 点击注册按钮
2. 邮箱：1234@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345667
6.勾选协议
7.点击注册","1.前台：弹框提示注册成功；跳转到首页； 显示登录状态
2.后台：会员列表新增一条记录
3.数据库：tp_users表增加一条数据",,功能测试,2,正常,系统测试阶段,注册成功,,,,
/注册,验证手机号注册失败状态,"1. 点击注册按钮
2. 手机号：1331234567
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：1771234 567
6.勾选协议
7.点击注册","1.前台：弹出提示注册失败的信息
2.后台：无数据
3.数据库：无数据",,功能测试,2,正常,系统测试阶段,注册失败,,,,
/注册,验证邮箱注册失败状态,"1. 点击注册按钮
2. 邮箱：123@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：1771234 567
6.勾选协议
7.点击注册","1.前台：弹出提示注册失败的信息
2.后台：无数据
3.数据库：无数据",,功能测试,2,正常,系统测试阶段,注册失败,,,,
/登录,验证输入正确的手机号，密码，登录成功，查看网站头部,"1.点击登录
2.输入手机号：13312345678
3.密码：123456
4.输入验证码：8888","1.登录成功
2.网站头部显示手机号和安全退出",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入正确的邮箱，密码，登录成功，查看网站头部,"1.点击登录
2.输入手机号：13312345678      3.密码：123456
4.输入验证码：8888","1.登录成功
2.网站头部显示邮箱和安全退出",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入不正确的手机号，登录失败,"1.点击登录
2.手机号：13312345678
3.密码：123456
4.输入验证码：8888
5.点击登录后更新验证码","1.登录失败
2.提示账号格式不匹配
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证为空的手机号，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
5.点击登录后更新验证码","1.登录失败
2.提示用户名不能为空
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入错误的密码，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
5.点击登录后更新验证码","1.登录失败
2.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证为空的密码，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
6.点击登录后更新验证码","1.登录失败
2.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入错误的邮箱，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
7.点击登录后更新验证码","1.登录失败
2.提示账号格式不匹配
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入为空的邮箱，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
8.点击登录后更新验证码","1.登录失败
2.提示用户名不能为空
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证数为空的验证码，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
9.点击登录后更新验证码","1.登录失败
2.提示图像验证码不能为空
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入错误的验证码，登录失败,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
10.点击登录后更新验证码","1.登录失败
2.提示图像验证码错误
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入未注册的手机号,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
11.点击登录后更新验证码","1.登录失败
2.提示账号不存在
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/登录,验证输入未注册的邮箱,"1.点击登录
2.手机号：
3.密码：123456
4.输入验证码：8888
12.点击登录后更新验证码","1.登录失败
2.提示账号不存在
3.点击登录后更新验证码",,功能测试,2,正常,系统测试阶段,在登录界面,,,,
/全部商品分类,验证首页默认显示6个一级分类,1.输入网址：192.168.124.3:80,"1.进入网站首页       
2.查看首页默认显示6个一级分类     ",,,,,,,,,,
/全部商品分类,验证鼠标移入一级分类后，背景颜色变浅，会显示所有的二级和三级分类,"1.输入网址：192.168.124.3:80
2.鼠标移入一级分类","1. 进入商城首页
2.鼠标放入一级分类，显示其二级分类和三级分类",,,,,,,,,,
/全部商品分类,验证所有一级和三级分类鼠标移入后字体变红，,"1.输入网址：192.168.124.3:80
2.鼠标分别移入一级分类和三级分类","1.进入网站首页       
2.鼠标放入分别一级分类和三级分类，字体颜色变红     ",,,,,,,,,,
/全部商品分类,验证鼠标移入二级分类，字体不变色,"1.输入网址：192.168.124.3:80
2.鼠标移入二级分类","1. 进入商城首页
2.鼠标放入二级分类，字体颜色不变",,,,,,,,,,
/全部商品分类,验证点击一级分类，跳转到该分类的筛选界面,"1.输入网址：192.168.124.3:80
2.点击一级分类","1. 进入商城首页
2. 点击分类后跳转到筛选界面",,,,,,,,,,
/全部商品分类,验证点击二级分类，跳转到该分类的筛选界面,"1.输入网址：192.168.124.3:80
3.点击二级分类","1. 进入商城首页
3. 点击分类后跳转到筛选界面",,,,,,,,,,
/全部商品分类,验证点击三级分类，跳转到该分类的筛选界面,"1.输入网址：192.168.124.3:80
4.点击三级分类","1. 进入商城首页
4. 点击分类后跳转到筛选界面",,,,,,,,,,
/全部商品分类,验证,,,,,,,,,,,,
/全部商品分类,,,,,,,,,,,,,
/ Banner,验证banner图为1-5张，自动轮播，3秒切换一张,,,,,,,,,,,,
/ Banner,验证banner图为1张，不轮播,,,,,,,,,,,,
/ Banner,验证鼠标停在图片上时，不轮播,,,,,,,,,,,,
/ Banner,验证实心为当前图，点击后可以跳转,,,,,,,,,,,,
/ Banner,验证可以左右切换，每次切换一张,,,,,,,,,,,,
/ Banner,验证在后台设置banner图的数量，前台展示相应的数量,,,,,,,,,,,,
/ Banner,验证在后台设置banner图的切换时间，前台展示相应的切换时间,,,,,,,,,,,,
/商品分类楼层,验证楼层控制可以由数据库中一级分类中的热门字段（is_hot）控制显示,,,,,,,,,,,,
,验证可以通过点击楼层控制当前界面显示楼层信息。,,,,,,,,,,,,
,验证相应的位置显示当前楼层商品一级分类名称,,,,,,,,,,,,
,验证相应位置显示当前楼层商品二级分类链接，可以跳转到对应类型商品列表,,,,,,,,,,,,
